01092019 122849 Dotdotdot No sure if it belongs to anyone but I saw an air bed in the 1a flytipping area,"['01092019', '122849', 'Dotdotdot', 'No', 'sure', 'if', 'it', 'belongs', 'to', 'anyone', 'but', 'I', 'saw', 'an', 'air', 'bed', 'in', 'the', '1a', 'flytipping', 'area']"
 The flytipping part really sells that ha,"['The', 'flytipping', 'part', 'really', 'sells', 'that', 'ha']"
01092019 123614 Dotdotdot Lol the  Booth House ´ Booth House _ Booth House Î Booth House  Booth House Îålocal donations Booth House ´ Booth House _ Booth House Î Booth House  Booth House ´å area,"['01092019', '123614', 'Dotdotdot', 'Lol', 'the', 'Ì´Ì_ÌÎÌÌÎ\x8flocal', 'donationsÌ´Ì_ÌÎÌÌ´\x9d', 'area']"
 Anyone lost a fob,"['Anyone', 'lost', 'a', 'fob']"
 I lost one on a plain metal ring,"['I', 'lost', 'one', 'on', 'a', 'plain', 'metal', 'ring']"
01092019 135322 Dotdotdot Thank you to everyone that offered money You are all amazing I should be good now until my new bank card arrives,"['01092019', '135322', 'Dotdotdot', 'Thank', 'you', 'to', 'everyone', 'that', 'offered', 'money', 'You', 'are', 'all', 'amazing', 'I', 'should', 'be', 'good', 'now', 'until', 'my', 'new', 'bank', 'card', 'arrives']"
01092019 135535 Jen Dotdotdot Everyone who has taken pictures and videos of the exhibition please can you upload them to this folder have a look at the instructions please so everyone can be credited properly ,"['01092019', '135535', 'Jen', 'Dotdotdot', 'Everyone', 'who', 'has', 'taken', 'pictures', 'and', 'videos', 'of', 'the', 'exhibition', 'please', 'can', 'you', 'upload', 'them', 'to', 'this', 'folder', 'have', 'a', 'look', 'at', 'the', 'instructions', 'please', 'so', 'everyone', 'can', 'be', 'credited', 'properly']"
01092019 135538 Jen Dotdotdot httpsdrivegooglecomdrivefolders11GAkInNL0yUlhwxkVY9MBtpk17xevVuspsharing,"['01092019', '135538', 'Jen', 'Dotdotdot', 'httpsdrivegooglecomdrivefolders11GAkInNL0yUlhwxkVY9MBtpk17xevVuspsharing']"
 Booth House,"['Booth', 'House']"
It is very possible that a general election or referendum happens before the end of the year,"['It', 'is', 'very', 'possible', 'that', 'a', 'general', 'election', 'or', 'referendum', 'happens', 'before', 'the', 'end', 'of', 'the', 'year']"
